timestamp,attention,meditation,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
32.53501033782959,54,27,67,19998,65727,12884,5403,7702,2767,2612,1176,0,0
33.035587787628174,54,27,-2,19998,65727,12884,5403,7702,2767,2612,1176,0,0
33.53616976737976,38,20,105,84673,37477,6407,5539,8337,4048,1081,527,0,0
34.0367488861084,38,20,23,84673,37477,6407,5539,8337,4048,1081,527,0,0
34.53731298446655,38,35,66,1543,3027,3415,2815,2317,2011,1769,635,0,0
35.03788661956787,38,35,83,1543,3027,3415,2815,2317,2011,1769,635,0,0
35.53845262527466,41,50,836,5314,3249,1416,470,1653,1947,1376,654,0,0
36.039026737213135,41,50,42,5314,3249,1416,470,1653,1947,1376,654,0,0
36.53960180282593,54,54,73,2049907,162853,20576,52976,28906,20251,15670,1856,0,0
37.039745807647705,54,54,64,2049907,162853,20576,52976,28906,20251,15670,1856,0,0
37.54030919075012,64,69,33,255704,10811,11633,4371,2414,5426,6456,2507,0,0
38.04088830947876,64,69,163,255704,10811,11633,4371,2414,5426,6456,2507,0,0
38.541454553604126,63,78,12,21404,4280,20146,10163,7297,7045,2961,1065,0,0
39.04201340675354,63,78,-2,21404,4280,20146,10163,7297,7045,2961,1065,0,0
39.54258465766907,44,87,136,183220,186301,44926,97161,21205,29463,23900,8742,0,0
40.0427520275116,44,87,243,183220,186301,44926,97161,21205,29463,23900,8742,0,0
40.54333305358887,41,91,-22,1249582,143944,59374,31829,25981,14530,11741,4320,0,0
41.043747901916504,41,91,33,1249582,143944,59374,31829,25981,14530,11741,4320,0,0
41.544315576553345,30,93,107,125584,14475,15130,8150,5180,3554,5145,2734,0,0
42.04474353790283,30,93,96,125584,14475,15130,8150,5180,3554,5145,2734,0,0
42.545310497283936,27,83,-6,189579,29929,15106,14079,7087,8624,4231,800,0,0
43.045881271362305,27,83,34,189579,29929,15106,14079,7087,8624,4231,800,0,0
43.546462297439575,24,88,89,265699,26854,32362,3218,6765,4248,3874,1413,0,0
44.04703235626221,24,88,48,265699,26854,32362,3218,6765,4248,3874,1413,0,0
44.54759740829468,30,84,-97,70433,25591,10962,3152,3950,3924,2354,824,0,0
45.0477454662323,30,84,113,70433,25591,10962,3152,3950,3924,2354,824,0,0
