duration,freq,instrument,intensity,note_name,session_name,timestamp
1.7,292.25,violin,0.8,,default,3.4722602367401123
1.7,292.25,violin,0.8,,default,4.044090747833252
1.7,368.22,violin,0.8,,default,4.611576318740845
1.7,875.79,violin,0.8,,default,5.1840081214904785
1.7,551.72,violin,0.8,,default,5.753593921661377
1.7,491.52,violin,0.8,,default,6.323111057281494
1.7,551.72,violin,0.8,,default,6.897138833999634
1.7,551.72,violin,0.8,,default,8.04751443862915
1.7,1169.04,violin,0.8,,default,8.621066570281982
1.7,390.12,violin,0.8,,default,9.763713359832764
1.7,328.05,violin,0.8,,default,10.332267045974731
1.7,390.12,violin,0.8,,default,10.901476860046387
