duration,freq,instrument,intensity,note_name,session_name,timestamp
0.8,440.0,piano,0.8,,default,7.936732292175293
0.8,587.33,piano,0.8,,default,8.369178533554077
0.8,659.25,piano,0.8,,default,8.768590450286865
0.8,659.25,piano,0.8,,default,9.20126748085022
0.8,493.88,piano,0.8,,default,9.6006600856781
0.8,523.25,piano,0.8,,default,10.033234119415283
0.8,659.25,piano,0.8,,default,10.432640075683594
0.8,783.99,piano,0.8,,default,10.865214109420776
0.8,783.99,piano,0.8,,default,11.285203456878662
