duration,freq,instrument,intensity,note_name,session_name,timestamp
1.5,328.05,violin,0.8,,default,1.7216176986694336
1.5,328.05,violin,0.8,,default,2.2884433269500732
1.5,551.72,violin,0.8,,default,2.8576605319976807
1.5,1169.04,violin,0.8,,default,3.4353065490722656
1.5,437.89,violin,0.8,,default,4.004334211349487
1.5,437.89,violin,0.8,,default,4.573641061782837
1.5,551.72,violin,0.8,,default,5.14319109916687
1.5,437.89,violin,0.8,,default,6.291810750961304
1.5,551.72,violin,0.8,,default,6.861246585845947
1.5,875.79,violin,0.8,,default,7.432662725448608
1.5,390.12,violin,0.8,,default,8.001887798309326
1.5,390.12,violin,0.8,,default,8.571129083633423
1.5,328.05,violin,0.8,,default,9.1396005153656
1.5,1169.04,violin,0.8,,default,10.28665280342102
1.5,368.22,violin,0.8,,default,11.441120386123657
1.5,328.05,violin,0.8,,default,12.583041667938232
1.5,328.05,violin,0.8,,default,13.744005680084229
1.5,368.22,violin,0.8,,default,14.311418771743774
1.5,1103.42,violin,0.8,,default,16.05441451072693
1.5,1169.04,violin,0.8,,default,16.63158917427063
1.5,1169.04,violin,0.8,,default,17.209460973739624
